007.qq.com	61.129.7.119
108.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
1.qq.com	101.89.15.139
114.qq.com	183.61.51.35
12.qq.com	180.163.26.39
2010.qq.com	61.151.166.139, 61.151.166.146
2011.qq.com	61.151.166.139, 61.151.166.146
2012.qq.com	61.151.166.139, 61.151.166.146
2008.qq.com	180.163.26.39
123.qq.com	180.163.26.39
2014.qq.com	61.151.166.139, 61.151.166.146
3.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
4g.qq.com	61.151.168.204
3g.qq.com	61.151.166.139, 61.151.166.146
3d.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
7.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
666.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
888.qq.com	101.91.63.180, 61.129.7.25
a.qq.com	180.97.146.243
9.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
aba.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
aa.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
aaa.qq.com	115.231.37.204, 115.231.37.249
acc.qq.com	61.151.186.50
ac.qq.com	101.227.130.47
abc.qq.com	101.226.76.191
ab.qq.com	101.227.160.45, 61.151.168.159
act.qq.com	111.230.207.246
account.qq.com	101.226.233.172
ads.qq.com	14.17.32.217
af.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
ah.qq.com	180.163.26.39
ag.qq.com	101.227.131.64
ai.qq.com	101.227.131.64
ajax.qq.com	61.151.168.204
album.qq.com	115.159.15.252
ams.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
anke.qq.com	193.112.84.166
all.qq.com	180.163.26.39
ap.qq.com	101.226.233.172
app.qq.com	101.227.160.45, 61.151.168.159
aq.qq.com	101.226.233.172
apple.qq.com	183.57.48.96
apps.qq.com	61.129.7.126
ar.qq.com	61.129.7.43
api.qq.com	180.163.21.61
art.qq.com	109.244.192.218
as.qq.com	122.228.0.141, 180.153.105.159, 180.153.105.195, 180.153.93.22, 180.153.93.33
astro.qq.com	61.151.166.139, 61.151.166.146
athena.qq.com	134.175.212.151
at.qq.com	101.227.131.64
aurora.qq.com	123.151.26.118
auto.qq.com	61.151.166.139, 61.151.166.146
b.qq.com	183.61.51.43
b2b.qq.com	183.61.51.43
baby.qq.com	61.151.166.139, 61.151.166.146
